timestamp,datetime_utc,open,high,low,close,volume
1771612200,2026-02-20 18:30:00,0.1625,0.16393,0.16195,0.162902,563605.24390019
1771613100,2026-02-20 18:45:00,0.16295,0.163504,0.162404,0.162725,754169.78511184
1771614000,2026-02-20 19:00:00,0.162725,0.163112,0.1619,0.162,530777.05515212
1771614900,2026-02-20 19:15:00,0.162025,0.162264,0.161525,0.161844,189507.21513289
1771615800,2026-02-20 19:30:00,0.16185,0.162374,0.161446,0.161552,224617.9316784
1771616700,2026-02-20 19:45:00,0.16157,0.161968,0.161425,0.161949,168764.86117972
1771617600,2026-02-20 20:00:00,0.161935,0.162247,0.161675,0.16215,184448.0190447
1771618500,2026-02-20 20:15:00,0.162125,0.162161,0.161027,0.161167,186750.65789895
1771619400,2026-02-20 20:30:00,0.161175,0.161725,0.16095,0.161691,136649.12820623
1771620300,2026-02-20 20:45:00,0.16169,0.161855,0.16125,0.161575,205713.22234328
1771621200,2026-02-20 21:00:00,0.161599,0.161951,0.161352,0.161475,192786.42542307
1771622100,2026-02-20 21:15:00,0.161425,0.1617,0.16135,0.161563,122314.46586767
1771623000,2026-02-20 21:30:00,0.16159,0.161875,0.161392,0.161704,90765.4291146
1771623900,2026-02-20 21:45:00,0.161704,0.161941,0.161526,0.16175,134516.3663571
1771624800,2026-02-20 22:00:00,0.16179,0.1618,0.161311,0.161707,195937.77863398
1771625700,2026-02-20 22:15:00,0.161702,0.16251,0.161477,0.162321,160038.18312463
1771626600,2026-02-20 22:30:00,0.1623,0.162675,0.162004,0.16213,303840.85531196
1771627500,2026-02-20 22:45:00,0.16213,0.16258,0.162029,0.1624,149054.30205209
1771628400,2026-02-20 23:00:00,0.16244,0.162925,0.162337,0.162388,411527.79454155
1771629300,2026-02-20 23:15:00,0.162384,0.16253,0.16221,0.16238,90262.61815606
1771630200,2026-02-20 23:30:00,0.1624,0.162567,0.162176,0.16229,130307.45048454
1771631100,2026-02-20 23:45:00,0.162322,0.162749,0.162322,0.162597,88503.19836259
1771632000,2026-02-21 00:00:00,0.162576,0.162752,0.1623,0.16248,127234.7108628
1771632900,2026-02-21 00:15:00,0.162525,0.162555,0.162077,0.162098,103414.72918659
1771633800,2026-02-21 00:30:00,0.162084,0.162148,0.161596,0.161596,134579.38094264
1771634700,2026-02-21 00:45:00,0.1616,0.161699,0.1615,0.161637,76707.02595672
1771635600,2026-02-21 01:00:00,0.161665,0.161812,0.161512,0.16176,82212.06180004
1771636500,2026-02-21 01:15:00,0.16176,0.16192,0.161703,0.161825,96091.49185568
1771637400,2026-02-21 01:30:00,0.161845,0.162451,0.161828,0.162315,106196.68238362
1771638300,2026-02-21 01:45:00,0.1623,0.162418,0.162185,0.16236,63597.97216436
1771639200,2026-02-21 02:00:00,0.162375,0.16253,0.162111,0.16253,78110.29848851
1771640100,2026-02-21 02:15:00,0.162529,0.162849,0.1624,0.16275,197870.72227835
1771641000,2026-02-21 02:30:00,0.162749,0.162975,0.162625,0.162875,55507.69265839
1771641900,2026-02-21 02:45:00,0.16285,0.162894,0.162382,0.162382,80161.62293027
1771642800,2026-02-21 03:00:00,0.1624,0.162449,0.16165,0.161725,128561.62560132
1771643700,2026-02-21 03:15:00,0.161722,0.161939,0.161611,0.16193,78347.7447687
1771644600,2026-02-21 03:30:00,0.16193,0.162099,0.161494,0.161609,120247.81116934
