timestamp,low,high,open,close,volume
2026-02-19 19:00:00+00:00,0.158593,0.160341,0.159889,0.159479,1616038.1553742
2026-02-19 20:00:00+00:00,0.158756,0.16007,0.15944,0.159783,2633373.37973353
2026-02-19 21:00:00+00:00,0.159296,0.160004,0.159719,0.159432,461719.09189712
2026-02-19 22:00:00+00:00,0.157652,0.159717,0.159458,0.158388,958783.62474587
2026-02-19 23:00:00+00:00,0.157952,0.158969,0.158373,0.158933,966399.80281377
2026-02-20 00:00:00+00:00,0.158656,0.16025,0.158911,0.160125,1409358.66739987
2026-02-20 01:00:00+00:00,0.159895,0.161107,0.16014,0.160549,1684014.66307282
2026-02-20 02:00:00+00:00,0.160098,0.160816,0.16055,0.160155,572231.8078051
2026-02-20 03:00:00+00:00,0.159795,0.160615,0.160136,0.160028,1090825.49676614
2026-02-20 04:00:00+00:00,0.1589,0.160075,0.160025,0.159413,653164.90700228
2026-02-20 05:00:00+00:00,0.159075,0.16174,0.159463,0.16108,1948076.08189158
2026-02-20 06:00:00+00:00,0.16075,0.1618,0.161087,0.161425,616499.4054791
2026-02-20 07:00:00+00:00,0.160622,0.161415,0.161415,0.160781,416463.31522982
2026-02-20 08:00:00+00:00,0.1604,0.161102,0.16075,0.160873,468039.81022448
2026-02-20 09:00:00+00:00,0.160787,0.161924,0.160858,0.161813,580360.4872556
2026-02-20 10:00:00+00:00,0.161775,0.162599,0.16182,0.161963,1487504.85738829
2026-02-20 11:00:00+00:00,0.160841,0.162199,0.161933,0.1611,705641.30742823
2026-02-20 12:00:00+00:00,0.1608,0.161834,0.16115,0.160959,701132.831875
2026-02-20 13:00:00+00:00,0.157425,0.160883,0.160883,0.1581,1104005.58303495
2026-02-20 14:00:00+00:00,0.158097,0.161159,0.15815,0.160469,1515953.88294725
2026-02-20 15:00:00+00:00,0.16041,0.163688,0.160475,0.163675,3319576.4517193
2026-02-20 16:00:00+00:00,0.1622,0.16517,0.163626,0.163425,2730595.22410063
2026-02-20 17:00:00+00:00,0.160116,0.163464,0.1634,0.163049,2498098.32319473
2026-02-20 18:00:00+00:00,0.16195,0.16393,0.162975,0.162725,2323464.14254119
2026-02-20 19:00:00+00:00,0.161425,0.163112,0.162725,0.161949,1113667.06314313
2026-02-20 20:00:00+00:00,0.16095,0.162247,0.161935,0.161575,713561.02749316
2026-02-20 21:00:00+00:00,0.16135,0.161951,0.161599,0.16175,540382.68676244
2026-02-20 22:00:00+00:00,0.161311,0.162675,0.16179,0.1624,808871.11912266
2026-02-20 23:00:00+00:00,0.162176,0.162925,0.16244,0.162597,720601.06154474
2026-02-21 00:00:00+00:00,0.1615,0.162752,0.162576,0.161637,441935.84694875
2026-02-21 01:00:00+00:00,0.161512,0.162451,0.161665,0.16236,348098.2082037
2026-02-21 02:00:00+00:00,0.162111,0.162975,0.162375,0.162382,411650.33635552
2026-02-21 03:00:00+00:00,0.161494,0.162449,0.1624,0.161937,407127.89877709
2026-02-21 04:00:00+00:00,0.161651,0.16208,0.161935,0.162006,375639.69148207
2026-02-21 05:00:00+00:00,0.161831,0.162524,0.162051,0.161973,245695.02957652
2026-02-21 06:00:00+00:00,0.161426,0.162203,0.161999,0.161689,372077.48902607
2026-02-21 07:00:00+00:00,0.161426,0.161866,0.16169,0.16178,327140.59032774
2026-02-21 08:00:00+00:00,0.1616,0.162847,0.1618,0.162728,328058.2414231
2026-02-21 09:00:00+00:00,0.162601,0.164,0.162725,0.16311,434146.79724295
2026-02-21 10:00:00+00:00,0.162778,0.16335,0.163075,0.16298,250501.44148067
2026-02-21 11:00:00+00:00,0.16267,0.16335,0.162961,0.1631,651029.21816241
2026-02-21 12:00:00+00:00,0.162558,0.16315,0.16309,0.162871,337370.75692065
2026-02-21 13:00:00+00:00,0.162739,0.163499,0.162872,0.163451,360848.93697534
2026-02-21 14:00:00+00:00,0.16326,0.164474,0.16347,0.16394,907113.42637811
2026-02-21 15:00:00+00:00,0.163025,0.164076,0.163975,0.163214,585335.00509694
2026-02-21 16:00:00+00:00,0.161726,0.163321,0.16323,0.161992,561125.37198495
2026-02-21 17:00:00+00:00,0.161601,0.162287,0.16202,0.16195,498350.66608078
2026-02-21 18:00:00+00:00,0.16191,0.1632,0.16191,0.16293,620439.40247293
2026-02-21 19:00:00+00:00,0.162471,0.163806,0.162875,0.162631,708551.19822025
2026-02-21 20:00:00+00:00,0.161575,0.162746,0.162625,0.161625,885673.23993521
2026-02-21 21:00:00+00:00,0.161477,0.162436,0.16163,0.162329,376605.31476671
2026-02-21 22:00:00+00:00,0.1613,0.162824,0.162319,0.1613,1542010.55558351
2026-02-21 23:00:00+00:00,0.160942,0.161411,0.161276,0.160975,1463987.59793476
2026-02-22 00:00:00+00:00,0.160125,0.161,0.160951,0.16047,1145062.3145713
2026-02-22 01:00:00+00:00,0.159515,0.160452,0.160452,0.159827,911530.12471258
2026-02-22 02:00:00+00:00,0.153826,0.15988,0.15985,0.155491,22579514.11032223
2026-02-22 03:00:00+00:00,0.15428,0.157554,0.15547,0.15564,16291826.35274008
2026-02-22 04:00:00+00:00,0.155245,0.156,0.155616,0.155806,2849742.46084628
2026-02-22 05:00:00+00:00,0.154948,0.156557,0.155822,0.155314,5813121.07923921
