Transaction_ID,Date,Time,Employee_ID,Employee_Name,Item_Count,Subtotal,Tax,Card_Fee,Grand_Total,Payment_Method,Amount_Received,Change_Due,Receipt_Number,Notes
TRX20251228140842f2a3,2025-12-28,14:08:42,1001,Rich,2,42.98,3.55,1.29,47.82,CARD,0.00,0.00,TRX20251228140842f2a3,
TRX202512281413329610,2025-12-28,14:13:32,1001,Rich,1,34.99,2.89,1.05,38.93,CARD,0.00,0.00,TRX202512281413329610,
TRX20251228141403955f,2025-12-28,14:14:03,1001,Rich,1,34.99,2.89,0.00,37.88,CASH,40.00,2.12,TRX20251228141403955f,
