Date,Total_Transactions,Total_Revenue,Total_Tax_Collected,Cash_Sales,Card_Sales,Total_Items_Sold,Animals_Sold,Products_Sold,Plants_Sold,Total_Employee_Hours,Total_Overtime,Employees_Worked,Top_Seller_Name,Top_Seller_Revenue,Generated_At
2025-11-30,1,97.40,7.42,97.40,0.00,2,1,1,0,0.00,0.00,0,richard,97.40,2025-11-30 14:20:29
2025-11-30,2,963.38,73.42,963.38,0.00,4,1,1,2,0.06,0.00,1,richard,963.38,2025-11-30 14:25:45
2025-11-30,2,963.38,73.42,963.38,0.00,4,1,1,2,0.06,0.00,1,richard,963.38,2025-11-30 14:31:55
