Transaction_ID,Date,Time,Employee_ID,Employee_Name,Item_Count,Subtotal,Tax,Grand_Total,Payment_Method,Amount_Received,Change_Due,Receipt_Number,Notes
TRX202512161341198ec9,2025-12-16,13:41:19,1001,Rich,2,15.96,1.32,17.28,CASH,20.00,2.72,TRX202512161341198ec9,
TRX202512161414178b68,2025-12-16,14:14:17,1001,Rich,2,15.96,1.32,17.28,CASH,20.00,2.72,TRX202512161414178b68,
TRX20251216141429f9aa,2025-12-16,14:14:29,1001,Rich,2,15.96,1.32,17.28,CASH,20.00,2.72,TRX20251216141429f9aa,
TRX20251216141606e590,2025-12-16,14:16:06,1001,Rich,2,15.96,1.32,17.28,CARD,0.00,0.00,TRX20251216141606e590,
TRX20251216173623aa99,2025-12-16,17:36:23,1001,Rich,1,4.98,0.41,5.39,CASH,6.00,0.61,TRX20251216173623aa99,
TRX202512161736590190,2025-12-16,17:36:59,1001,Rich,1,5.98,0.49,6.47,CARD,0.00,0.00,TRX202512161736590190,
TRX20251216174006cc36,2025-12-16,17:40:06,1001,Rich,2,9.96,0.82,10.78,CASH,15.00,4.22,TRX20251216174006cc36,
